docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S175058361300203X-1240	1	Quantity	482	503	1	approximately 6.2 MPa	"{""unit"": ""MPa""}"
S175058361300203X-1240	1	MeasuredEntity	459	476	3	injection horizon	"{""HasQuantity"": ""1""}"
S175058361300203X-1240	2	Quantity	508	513	4	34 °C	"{""unit"": ""C""}"
S175058361300203X-1240	3	Quantity	696	718	5	approximately 7.73 MPa	"{""unit"": ""MPa""}"
S175058361300203X-1240	4	Quantity	723	728	6	38 °C	"{""unit"": ""C""}"
S175058361300203X-1240	5	Quantity	1098	1114	7	around 260 kg/m3	"{""unit"": ""kg""}"
S175058361300203X-1240	5	MeasuredEntity	1082	1093	8	CO2 density	"{""HasQuantity"": ""7""}"
S175058361300203X-1240	6	Quantity	1139	1144	9	38 °C	"{""unit"": ""C""}"
S175058361300203X-1240	6	MeasuredEntity	1122	1137	10	injection point	"{""HasQuantity"": ""9""}"
S175058361300203X-1240	7	Quantity	1182	1191	11	320 kg/m3	"{""unit"": ""kg""}"
S175058361300203X-1240	8	Quantity	1265	1270	12	34 °C	"{""unit"": ""C""}"
S175058361300203X-1240	8	MeasuredProperty	1244	1263	13	ambient temperature	"{""HasQuantity"": ""12""}"
