,document_name,sentence,potential_measurements
0,S0927024813003036-2011.txt,"[38] methods, with a Sinton WCT-120 lifetime tester.","[['CARDINAL', 15, 16], ['PERSON', 21, 22]]"
1,S0927024813003036-2011.txt,"The injection level range studied varied with the lifetime of the sample, but was usually in the range 1013 cm−3 to 1016 cm−3.","[['CARDINAL', 45, 46], ['DATE', 48, 49], ['ORG', 49, 50]]"
2,S0927024813003036-2011.txt,"Boron–oxygen defects were eliminated by storing the samples in the dark after passivation, or by performing a 10 min pre-anneal at 200 °C [39] prior to lifetime measurement.","[['PERSON', 80, 81], ['CARDINAL', 100, 101], ['CARDINAL', 106, 107], ['CARDINAL', 110, 111]]"
3,S0927024813003036-2011.txt,"The samples were subjected to ∼50 close-up flashes from the lifetime tester to dissociate FeB pairs [40], after which an initial lifetime measurement was made immediately.","[['CARDINAL', 136, 137]]"
4,S0927024813003036-2011.txt,"It is noted that the aggregated illumination time of the flashes of light used to dissociate the iron–boron pairs is very short (<20  ms), so any effect on the formation of boron–oxygen defects is kept to a minimum [39].","[['CARDINAL', 197, 198]]"
5,S0927024813003036-2011.txt,"A second lifetime measurement was made more than 24 h later, which was sufficient time to reassociate the FeB pairs [19,34,41].","[['ORDINAL', 201, 202], ['CARDINAL', 206, 209]]"
6,S0927024813003036-2011.txt,"The two lifetime measurements are then analysed to give the concentration of iron that exists in FeB pairs using an established method [30,40,42].","[['CARDINAL', 226, 227], ['CARDINAL', 248, 249]]"
7,S0927024813003036-2011.txt,The specific analysis approach used is described in a previous publication [19].,"[['CARDINAL', 304, 305]]"
8,S0927024813003036-2011.txt,(1)) are used with the recombination parameters of Rein and Glunz [30] to determine the bulk iron concentration required to account for a lifetime change at a given injection level.,"[['PERSON', 328, 329], ['CARDINAL', 332, 333]]"
9,S0927024813003036-2011.txt,"For the results presented in this paper, the injection level used was 0.2p0.","[['DATE', 366, 367]]"
10,S0032386113005454-2055.txt,A double-cantilever mode at 1 Hz was employed using test specimens 60 × 10 × 3 mm3 in size.,"[['CARDINAL', 39, 40], ['CARDINAL', 46, 47]]"
11,S0032386113005454-2055.txt,The temperature range used was −100 °C to 200 °C with a heating rate of 4 °C/min.,"[['CARDINAL', 64, 65], ['CARDINAL', 72, 73]]"
12,S0032386113005454-2055.txt,"As the density of the epoxy was only measured at room temperature, the value of the front factor, q, was taken to be 0.725, as in previous work [21].","[['CARDINAL', 201, 202]]"
13,S0032386113005454-2055.txt,"The density, ρ, of the epoxy was measured at room temperature according to BS ISO 1183-1","[['ORG', 219, 224]]"
14,S0032386113005454-2055.txt,[22] to be 1.20 g/m3 at 20 °C.,"[['CARDINAL', 227, 228], ['CARDINAL', 231, 232], ['CARDINAL', 236, 237]]"
15,S0012821X12004384-1249.txt,Borehole 22/10a-4 (57°44’8.47”N; 1°50’26.59”E) provides a continuous core through the Forties Sandstone Member and into the Lista Formation (Fig. 2).,"[['CARDINAL', 1, 2], ['CARDINAL', 3, 4], ['CARDINAL', 5, 6], ['CARDINAL', 7, 8], ['CARDINAL', 9, 10], ['ORG', 16, 20], ['ORG', 22, 25], ['PERSON', 26, 27], ['CARDINAL', 28, 29]]"
16,S0012821X12004384-1249.txt,"The core consists of variably fissile claystone with interbedded fine to coarse grained sandstone layers interpreted as turbidites, with occasional mm-thick ash layers (Fig. 3).","[['ORG', 58, 59], ['CARDINAL', 60, 61]]"
17,S0012821X12004384-1249.txt,"The section of 22/10a-4 analysed in this study is from 2605 m to 2634 m (core depth), chosen because this part of the core is predominantly in claystone facies and provides a greatly expanded section over the onset of the CIE (Figs. 2 and 3).","[['CARDINAL', 85, 86], ['DATE', 92, 93], ['CARDINAL', 95, 96], ['ORG', 125, 126], ['CARDINAL', 131, 132]]"
18,S0012821X12004384-1249.txt,At 2609–2613 m the claystone becomes finely laminated with alternately pale and dark laminae couplets ranging from 1 to 25 per mm (Fig. S2).,"[['CARDINAL', 135, 136], ['CARDINAL', 151, 154], ['PERSON', 155, 156], ['PERSON', 157, 158], ['PERSON', 159, 160]]"
19,S0012821X12004384-1249.txt,Laminae were counted at 26 horizons throughout the core and approximately 13 pairs per mm.,"[['CARDINAL', 188, 189], ['CARDINAL', 194, 196], ['PERSON', 198, 199]]"
20,S0012821X13007309-1691.txt,"The Livello Bonarelli is a 1 m thick condensed interval of millimetre-laminated black shale and brown radiolarian sand that represents the sedimentary expression of part of OAE 2 (Arthur and Premoli Silva, 1982).","[['PERSON', 21, 22], ['CARDINAL', 24, 25], ['GPE', 50, 51], ['PERSON', 52, 54], ['DATE', 55, 56]]"
21,S0012821X13007309-1691.txt,"Up to 20 m beneath the Bonarelli level there are numerous centimetre scale organic-rich shale layers (Jenkyns et al., 2007).","[['CARDINAL', 58, 60], ['CARDINAL', 60, 61], ['PERSON', 64, 65], ['DATE', 82, 83]]"
