,document_name,sentence,entities,np
0,S175058361300203X-1542,"It is well known that the seismic velocity in sandstones saturated with brine does not depend on temperatures in the range of 34–38 °C (e.g. Mavko, 2005).","[('CARDINAL', (22, 23)), ('GPE', (27, 28)), ('DATE', (29, 30))]","[('It', (0, 1)), ('the seismic velocity', (5, 8)), ('sandstones', (9, 10)), ('brine', (12, 13)), ('temperatures', (17, 18)), ('the range', (19, 21)), ('34–38 °C', (22, 25)), ('(e.g. Mavko', (25, 28))]"
1,S175058361300203X-1542,"To demonstrate this we calculated the difference in Vp between both temperature scenarios present at the Ketzin site at the time of the 1st 3D seismic repeat campaign (Ivanova et al., 2012) using Gassmann's equations (1951) for 50% CO2 saturation.","[('ORG', (48, 49)), ('MONEY', (56, 57)), ('ORG', (61, 62)), ('DATE', (66, 67)), ('ORG', (69, 70)), ('DATE', (73, 74)), ('PERCENT', (76, 78))]","[('we', (35, 36)), ('the difference', (37, 39)), ('Vp', (40, 41)), ('both temperature scenarios', (42, 45)), ('the Ketzin site', (47, 50)), ('the time', (51, 53)), ('the 1st 3D seismic repeat campaign', (54, 60)), ('Ivanova et al', (61, 64)), (""Gassmann's equations"", (69, 72)), ('50% CO2 saturation', (76, 80))]"
2,S175058361300203X-1542,The resulting difference between the scenarios in Vp is less than 5 m,[],"[('The resulting difference', (81, 84)), ('the scenarios', (85, 87)), ('Vp', (88, 89)), ('less than 5 m', (90, 94))]"
3,S175058361300203X-1542,/s.,[],[]
4,S175058361300203X-1542,"Considering the uncertainties (e.g. ±5% error in CO2 saturation) in the petrophysical experiments (Kummerow and Spangenberg, 2011; Ivanova et al., 2012) corresponding to ±70 m/s in Vp (Fig. 5), we did not take into account the Vp changes (Fig. 5, Eq.","[('PERSON', (113, 114)), ('GPE', (115, 116)), ('DATE', (117, 118)), ('ORG', (119, 120)), ('DATE', (124, 125)), ('PERSON', (135, 136)), ('CARDINAL', (137, 138)), ('ORG', (150, 151)), ('CARDINAL', (152, 153)), ('PERSON', (154, 155))]","[('the uncertainties', (97, 99)), ('% error', (102, 104)), ('CO2 saturation', (105, 107)), ('the petrophysical experiments', (109, 112)), ('Kummerow', (113, 114)), ('Spangenberg', (115, 116)), ('Ivanova et al', (119, 122)), ('Vp', (133, 134)), ('Fig', (135, 136)), ('we', (140, 141)), ('account', (145, 146)), ('the Vp changes', (146, 149)), ('Fig', (150, 151)), ('Eq', (154, 155))]"
5,S175058361300203X-1542,(1)) due to the different temperature scenarios (34 and 38 °C).,"[('CARDINAL', (167, 168))]","[('the different temperature scenarios', (162, 166)), ('38 °C', (169, 172))]"
6,S1389128612002496-5994,The results in Table 3 indicate that when there is no attack RED has no obvious influence on the normal TCP flows (ρna and rna are almost the same for DropTail and RED).,"[('ORG', (3, 4)), ('ORG', (12, 13)), ('ORG', (31, 32))]","[('The results', (0, 2)), ('Table', (3, 4)), ('no attack RED', (10, 13)), ('no obvious influence', (14, 17)), ('the normal TCP flows', (18, 22)), ('ρna', (23, 24)), ('rna', (25, 26)), ('DropTail', (31, 32)), ('RED', (33, 34))]"
7,S1389128612002496-5994,"However, when LDDoS attacks are present, RED significantly improves the throughput of normal TCP.","[('ORG', (44, 45))]","[('LDDoS attacks', (39, 41)), ('RED', (44, 45)), ('the throughput', (47, 49)), ('normal TCP', (50, 52))]"
8,S1389128612002496-5994,"Note that in this case, RED drops 25% packets, much more than the 7.6% from DropTail.","[('ORG', (59, 60)), ('PERCENT', (61, 63)), ('PERCENT', (68, 71)), ('ORG', (72, 73))]","[('this case', (56, 58)), ('RED', (59, 60)), ('25% packets', (61, 64)), ('the 7.6%', (68, 71)), ('DropTail', (72, 73))]"
9,S1389128612002496-5994,"In other words, when the aggregate rate of the LDDoS flows is very close to the bottleneck bandwidth of network, deploying RED is able to drop more attack packets while increasing the throughput of the normal TCP flows.","[('ORG', (97, 98))]","[('other words', (75, 77)), ('the aggregate rate', (79, 82)), ('the LDDoS flows', (83, 86)), ('the bottleneck', (90, 92)), ('network', (94, 95)), ('deploying RED', (96, 98)), ('more attack packets', (102, 105)), ('the throughput', (107, 109)), ('the normal TCP flows', (110, 114))]"
