,docId,annotSet,annotType,startOffset,endOffset,annotId,text,other
0,S0167610513001001-739,1,Quantity,52,57,T1-1,180 m,"{""unit"": ""m""}"
1,S0167610513001001-739,1,MeasuredEntity,38,51,T3-1,gate midpoint,"{""HasQuantity"": ""T1-1""}"
2,S0167610513001001-739,2,Quantity,81,91,T1-2,7.83 m s−1,"{""mods"": [""IsMedian""], ""unit"": ""m s−1""}"
3,S0167610513001001-739,2,MeasuredProperty,72,77,T4-2,speed,"{""HasQuantity"": ""T1-2""}"
4,S0167610513001001-739,2,MeasuredEntity,67,71,T3-2,wind,"{""HasProperty"": ""T4-2""}"
5,S0167610513001001-739,2,Qualifier,60,66,T5-2,Median,"{""Qualifies"": ""T1-2""}"
0,S0006322312001096-1136,1,Quantity,73,77,T1-1,1991,
1,S0006322312001096-1136,1,MeasuredEntity,49,69,T2-1,baseline examination,"{""HasQuantity"": ""T1-1""}"
2,S0006322312001096-1136,2,Quantity,103,123,T1-2,"1997, 2003, and 2008","{""mods"": [""IsList""]}"
3,S0006322312001096-1136,2,MeasuredEntity,79,99,T2-2,follow-up screenings,"{""HasQuantity"": ""T1-2""}"
4,S0006322312001096-1136,3,Quantity,205,222,T1-3,5318 participants,"{""unit"": ""participants""}"
5,S0006322312001096-1136,3,MeasuredEntity,25,43,T3-3,Whitehall II study,"{""HasQuantity"": ""T1-3""}"
6,S0006322312001096-1136,4,Quantity,233,243,T21-4,54.8 years,"{""mods"": [""IsMean""], ""unit"": ""years""}"
7,S0006322312001096-1136,4,MeasuredProperty,224,232,T31-4,mean age,"{""HasQuantity"": ""T21-4""}"
8,S0006322312001096-1136,4,MeasuredEntity,205,222,T41-4,5318 participants,"{""HasProperty"": ""T31-4""}"
9,S0006322312001096-1136,5,Quantity,245,248,T12-5,31%,"{""unit"": ""%""}"
10,S0006322312001096-1136,5,MeasuredProperty,249,254,T52-5,women,"{""HasQuantity"": ""T12-5""}"
11,S0006322312001096-1136,5,MeasuredEntity,205,222,T42-5,5318 participants,"{""HasProperty"": ""T52-5""}"
12,S0006322312001096-1136,6,Quantity,576,579,T1-6,≥16,"{""mods"": [""IsRange""]}"
13,S0006322312001096-1136,6,MeasuredProperty,570,575,T2-6,score,"{""HasQuantity"": ""T1-6""}"
14,S0006322312001096-1136,6,MeasuredEntity,520,569,T3-6,Center for Epidemiologic Studies Depression Scale,"{""HasProperty"": ""T2-6""}"
0,S016412121300188X-4436,1,Quantity,249,252,T1-1,10%,"{""unit"": ""%""}"
1,S016412121300188X-4436,1,MeasuredEntity,236,245,T3-1,threshold,"{""HasQuantity"": ""T1-1""}"
2,S016412121300188X-4436,2,Quantity,335,338,T1-2,10%,"{""unit"": ""%""}"
3,S016412121300188X-4436,2,MeasuredProperty,369,434,T2-2,produce the same backward slice as well as the same forward slice,"{""HasQuantity"": ""T1-2""}"
4,S016412121300188X-4436,2,MeasuredEntity,346,368,T3-2,program's SDG vertices,"{""HasProperty"": ""T2-2""}"
0,S2213671113000738-485,1,Quantity,81,89,T1-1,3 months,"{""unit"": ""months""}"
1,S2213671113000738-485,1,MeasuredEntity,6,58,T3-1,Magnetic resonance images of a representative animal,"{""HasQuantity"": ""T1-1""}"
