docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S2213158213001253-2433	1	Quantity	20	25	1	three	
S2213158213001253-2433	1	MeasuredEntity	26	37	2	classifiers	
S2213158213001253-2433	2	Quantity	319	332	3	0.90 and 0.89	
S2213158213001253-2433	3	Quantity	555	559	4	100%	
S2213158213001253-2433	3	MeasuredProperty	560	578	6	true positive rate	
S2213158213001253-2433	3	MeasuredEntity	382	445	7	sMRI classifier could not predict some of the positive subjects	
S2213158213001253-2433	4	Quantity	624	628	5	100%	
S2213158213001253-2433	5	Quantity	708	710	8	0%	
S2213158213001253-2433	5	MeasuredProperty	711	730	10	false positive rate	
S2213158213001253-2433	6	Quantity	775	777	9	0%	
