docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0006322312001096-1202	1	Quantity	220	228	1	20 items	
S0006322312001096-1202	1	MeasuredEntity	236	241	11	CES-D	
S0006322312001096-1202	2	Quantity	398	408	2	four point	
S0006322312001096-1202	2	MeasuredEntity	409	414	12	scale	
S0006322312001096-1202	3	Quantity	420	437	3	less than one day	
S0006322312001096-1202	3	MeasuredProperty	416	417	7	0	
S0006322312001096-1202	4	Quantity	443	451	4	1–2 days	
S0006322312001096-1202	4	MeasuredProperty	439	440	8	1	
S0006322312001096-1202	5	Quantity	457	465	5	3–4 days	
S0006322312001096-1202	5	MeasuredProperty	453	454	9	2	
S0006322312001096-1202	6	Quantity	475	483	6	5–7 days	
S0006322312001096-1202	6	MeasuredProperty	471	472	10	3	
S0006322312001096-1202	7	Quantity	532	548	13	between 0 and 60	
S0006322312001096-1202	7	MeasuredEntity	520	531	16	total score	
S0006322312001096-1202	8	Quantity	576	579	14	≥16	
S0006322312001096-1202	8	MeasuredProperty	568	575	15	scoring	
S0006322312001096-1202	8	MeasuredEntity	580	623	17	defined as having CES-D depressive symptoms	
S0006322312001096-1202	9	Quantity	655	684	18	274 Whitehall II participants	
S0006322312001096-1202	9	MeasuredProperty	686	697	21	sensitivity	
S0006322312001096-1202	9	MeasuredEntity	635	651	23	validation study	
S0006322312001096-1202	10	Quantity	719	722	19	89%	
S0006322312001096-1202	10	MeasuredProperty	702	713	22	specificity	
S0006322312001096-1202	11	Quantity	727	730	20	86%	
S0006322312001096-1202	11	MeasuredEntity	784	816	24	structured psychiatric interview	
