docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S016412121300188X-4640	1	Quantity	12	15	1	one	
S016412121300188X-4640	2	Quantity	60	65	2	52.1%	
S016412121300188X-4640	2	MeasuredEntity	73	91	4	program's vertices	
S016412121300188X-4640	3	Quantity	132	134	5	54	
S016412121300188X-4640	3	MeasuredEntity	135	144	7	functions	
S016412121300188X-4640	4	Quantity	157	158	6	7	
S016412121300188X-4640	4	MeasuredEntity	159	171	8	source files	
S016412121300188X-4640	5	Quantity	258	260	9	54	
S016412121300188X-4640	5	MeasuredEntity	261	270	11	functions	
S016412121300188X-4640	6	Quantity	272	274	10	26	
S016412121300188X-4640	7	Quantity	329	331	12	26	
S016412121300188X-4640	7	MeasuredEntity	332	341	13	functions	
