,document_name,sentence,potential_measurements,noun_phrases
0,S0927024813003036-2011.txt,"[38] methods, with a Sinton WCT-120 lifetime tester.","[['CARDINAL', 15, 16], ['PERSON', 21, 22]]","[['[38] methods', 14, 18], ['a Sinton WCT-120 lifetime tester', 20, 25]]"
1,S0927024813003036-2011.txt,"The injection level range studied varied with the lifetime of the sample, but was usually in the range 1013 cm−3 to 1016 cm−3.","[['CARDINAL', 45, 46], ['DATE', 48, 49], ['ORG', 49, 50]]","[['The injection level range', 26, 30], ['the lifetime', 33, 35], ['the sample', 36, 38], ['the range', 43, 45], ['1013 cm−3', 45, 47], ['1016 cm−3', 48, 50]]"
2,S0927024813003036-2011.txt,"Boron–oxygen defects were eliminated by storing the samples in the dark after passivation, or by performing a 10 min pre-anneal at 200 °C [39] prior to lifetime measurement.","[['PERSON', 80, 81], ['CARDINAL', 100, 101], ['CARDINAL', 106, 107], ['CARDINAL', 110, 111]]","[['Boron–oxygen defects', 80, 84], ['the samples', 88, 90], ['the dark', 91, 93], ['passivation', 94, 95], ['200 °C', 106, 109], ['lifetime measurement', 114, 116]]"
3,S0927024813003036-2011.txt,"The samples were subjected to ∼50 close-up flashes from the lifetime tester to dissociate FeB pairs [40], after which an initial lifetime measurement was made immediately.","[['CARDINAL', 136, 137]]","[['The samples', 117, 119], ['∼50', 122, 123], ['close-up flashes', 123, 127], ['the lifetime tester', 128, 131], ['FeB pairs', 133, 135], ['an initial lifetime measurement', 141, 145]]"
4,S0927024813003036-2011.txt,"It is noted that the aggregated illumination time of the flashes of light used to dissociate the iron–boron pairs is very short (<20  ms), so any effect on the formation of boron–oxygen defects is kept to a minimum [39].","[['CARDINAL', 197, 198]]","[['It', 149, 150], ['the aggregated illumination time', 153, 157], ['the flashes', 158, 160], ['light', 161, 162], ['the iron', 165, 167], ['boron pairs', 168, 170], ['<20  ms', 174, 178], ['any effect', 181, 183], ['the formation', 184, 186], ['boron', 187, 188], ['oxygen defects', 189, 191], ['a minimum', 194, 196]]"
5,S0927024813003036-2011.txt,"A second lifetime measurement was made more than 24 h later, which was sufficient time to reassociate the FeB pairs [19,34,41].","[['ORDINAL', 201, 202], ['CARDINAL', 206, 209]]","[['A second lifetime measurement', 200, 204], ['sufficient time', 214, 216]]"
6,S0927024813003036-2011.txt,"The two lifetime measurements are then analysed to give the concentration of iron that exists in FeB pairs using an established method [30,40,42].","[['CARDINAL', 226, 227], ['CARDINAL', 248, 249]]","[['The two lifetime measurements', 225, 229], ['the concentration', 234, 236], ['iron', 237, 238], ['FeB pairs', 241, 243], ['an established method', 244, 247]]"
7,S0927024813003036-2011.txt,The specific analysis approach used is described in a previous publication [19].,"[['CARDINAL', 304, 305]]","[['The specific analysis approach', 292, 296], ['a previous publication', 300, 303]]"
8,S0927024813003036-2011.txt,(1)) are used with the recombination parameters of Rein and Glunz [30] to determine the bulk iron concentration required to account for a lifetime change at a given injection level.,"[['PERSON', 328, 329], ['CARDINAL', 332, 333]]","[['the recombination parameters', 324, 327], ['Rein', 328, 329], ['Glunz', 330, 331], ['the bulk iron concentration', 336, 340], ['a lifetime change', 344, 347], ['a given injection level', 348, 352]]"
9,S0927024813003036-2011.txt,"For the results presented in this paper, the injection level used was 0.2p0.","[['DATE', 366, 367]]","[['the results', 354, 356], ['this paper', 358, 360], ['the injection level', 361, 364]]"
