docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0301010413004096-767	1	Quantity	145	169	1	between ∼−2 and 500 meV.	
S0301010413004096-767	2	Quantity	211	214	2	∼1%	
S0301010413004096-767	3	Quantity	256	262	3	∼2.5 g	
S0301010413004096-767	4	Quantity	387	396	4	10−7 mbar	
S0301010413004096-767	5	Quantity	401	407	5	120 °C	
S0301010413004096-767	6	Quantity	412	417	6	1 day	
S0301010413004096-767	7	Quantity	579	586	7	5 ± 0.2	
S0301010413004096-767	8	Quantity	615	620	8	99.5%	
S0301010413004096-767	9	Quantity	654	659	9	40–50	
S0301010413004096-767	10	Quantity	762	765	10	5 K	
