docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S016412121300188X-3207	1	Quantity	343	346	1	89%	"{""unit"": ""%""}"
S016412121300188X-3207	1	MeasuredEntity	327	333	2	C code	"{""HasQuantity"": ""1""}"
S016412121300188X-3207	2	Quantity	390	393	3	one	"{""unit"": ""one""}"
S016412121300188X-3207	2	MeasuredEntity	394	421	4	dependence cluster composed	"{""HasQuantity"": ""3""}"
S016412121300188X-3207	3	Quantity	425	428	5	10%	"{""unit"": ""%""}"
S016412121300188X-3207	4	Quantity	511	517	6	20KLoC	"{""unit"": ""20KLoC""}"
S016412121300188X-3207	4	MeasuredProperty	478	482	7	size	"{""HasQuantity"": ""6""}"
S016412121300188X-3207	5	Quantity	540	553	8	more than 10%	"{""unit"": ""%""}"
S016412121300188X-3207	6	Quantity	640	643	9	40%	"{""unit"": ""%""}"
S016412121300188X-3207	6	MeasuredEntity	666	684	11	dependence cluster	"{""HasQuantity"": ""9""}"
