docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S1359645413009816-2227	1	Quantity	26	36	1	14 samples	"{""unit"": ""samples""}"
S1359645413009816-2227	2	Quantity	49	54	2	three	"{""unit"": ""three""}"
S1359645413009816-2227	3	Quantity	107	110	3	Six	"{""unit"": ""Six""}"
S1359645413009816-2227	3	MeasuredEntity	111	118	4	samples	"{""HasQuantity"": ""3""}"
S1359645413009816-2227	4	Quantity	157	162	5	r=9mm	"{""unit"": ""mm""}"
S1359645413009816-2227	4	MeasuredProperty	147	153	6	radius	"{""HasQuantity"": ""5""}"
S1359645413009816-2227	5	Quantity	185	189	7	Four	"{""unit"": ""Four""}"
S1359645413009816-2227	5	MeasuredEntity	190	197	8	samples	"{""HasQuantity"": ""7""}"
S1359645413009816-2227	6	Quantity	228	231	9	9.3	"{""unit"": ""9.3""}"
S1359645413009816-2227	7	Quantity	240	246	10	7.3 mm	"{""unit"": ""mm""}"
S1359645413009816-2227	7	MeasuredProperty	236	237	11	r	"{""HasQuantity"": ""10""}"
