docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0378383913001567-6892	1	Quantity	15	19	1	40 m	"{""unit"": ""m""}"
S0378383913001567-6892	1	MeasuredEntity	4	11	2	channel	"{""HasQuantity"": ""1""}"
S0378383913001567-6892	2	Quantity	29	33	3	90 m	"{""unit"": ""m""}"
S0378383913001567-6892	3	Quantity	44	47	4	two	"{""unit"": ""two""}"
S0378383913001567-6892	3	MeasuredEntity	48	78	5	symmetrical wall constrictions	"{""HasQuantity"": ""4""}"
S0378383913001567-6892	4	Quantity	108	112	6	= 5°	"{""unit"": ""°""}"
S0378383913001567-6892	4	MeasuredProperty	100	107	7	angle β	"{""HasQuantity"": ""6""}"
S0378383913001567-6892	5	Quantity	151	156	8	10 m.	"{""unit"": ""m.""}"
S0378383913001567-6892	6	Quantity	185	188	9	two	"{""unit"": ""two""}"
S0378383913001567-6892	6	MeasuredEntity	189	204	10	different grids	"{""HasQuantity"": ""9""}"
S0378383913001567-6892	7	Quantity	208	216	11	121 × 53	"{""unit"": ""53""}"
S0378383913001567-6892	7	MeasuredEntity	217	241	12	regular curvilinear grid	"{""HasQuantity"": ""11""}"
S0378383913001567-6892	8	Quantity	357	365	13	121 × 53	"{""unit"": ""53""}"
S0378383913001567-6892	8	MeasuredEntity	366	378	14	regular grid	"{""HasQuantity"": ""13""}"
S0378383913001567-6892	9	Quantity	438	441	15	1 m	"{""unit"": ""m""}"
S0378383913001567-6892	9	MeasuredProperty	428	435	16	depth h	"{""HasQuantity"": ""15""}"
S0378383913001567-6892	9	MeasuredEntity	422	427	17	water	"{""HasQuantity"": ""15""}"
S0378383913001567-6892	10	Quantity	469	472	18	2.5	"{""unit"": ""2.5""}"
