docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0006322312001096-1177	1	Quantity	94	98	1	1985	
S0006322312001096-1177	1	MeasuredProperty	79	90	2	established	
S0006322312001096-1177	1	MeasuredEntity	4	22	3	Whitehall II study	
S0006322312001096-1177	2	Quantity	260	268	4	35 to 55	
S0006322312001096-1177	2	MeasuredProperty	255	259	7	aged	
S0006322312001096-1177	2	MeasuredEntity	202	219	9	target population	
S0006322312001096-1177	3	Quantity	281	283	5	20	
S0006322312001096-1177	3	MeasuredEntity	284	309	10	civil service departments	
S0006322312001096-1177	4	Quantity	341	353	6	1985 to 1988	
S0006322312001096-1177	4	MeasuredProperty	313	324	8	recruitment	
S0006322312001096-1177	5	Quantity	384	387	11	73%	
S0006322312001096-1177	5	MeasuredProperty	372	380	15	response	
S0006322312001096-1177	6	Quantity	413	429	12	10,308 employees	
S0006322312001096-1177	6	MeasuredEntity	393	399	16	cohort	
S0006322312001096-1177	7	Quantity	431	439	13	6895 men	
S0006322312001096-1177	8	Quantity	444	454	14	3413 women	
S0006322312001096-1177	9	Quantity	536	563	17	approximately every 5 years	
S0006322312001096-1177	9	MeasuredProperty	524	535	26	taken place	
S0006322312001096-1177	9	MeasuredEntity	496	518	31	follow-up examinations	
S0006322312001096-1177	10	Quantity	574	586	18	1991 to 1993	
S0006322312001096-1177	10	MeasuredEntity	565	572	32	phase 3	
S0006322312001096-1177	11	Quantity	592	596	19	8815	
S0006322312001096-1177	11	MeasuredProperty	588	589	27	n	
S0006322312001096-1177	12	Quantity	608	620	20	1997 to 1999	
S0006322312001096-1177	12	MeasuredEntity	599	606	33	phase 5	
S0006322312001096-1177	13	Quantity	626	630	21	7870	
S0006322312001096-1177	13	MeasuredProperty	622	623	28	n	
S0006322312001096-1177	14	Quantity	642	654	22	2003 to 2004	
S0006322312001096-1177	14	MeasuredEntity	633	640	34	phase 7	
S0006322312001096-1177	15	Quantity	660	664	23	6967	
S0006322312001096-1177	15	MeasuredProperty	656	657	29	n	
S0006322312001096-1177	16	Quantity	680	692	24	2008 to 2009	
S0006322312001096-1177	16	MeasuredEntity	671	678	35	phase 9	
S0006322312001096-1177	17	Quantity	698	702	25	6761	
S0006322312001096-1177	17	MeasuredProperty	694	695	30	n	
S0006322312001096-1177	18	Quantity	874	879	36	three	
S0006322312001096-1177	18	MeasuredEntity	880	896	38	screening cycles	
S0006322312001096-1177	19	Quantity	1117	1122	37	three	
S0006322312001096-1177	19	MeasuredEntity	1123	1134	39	data cycles	
