docId	annotSet	annotType	startOffset	endOffset	annotId	text	other
S0006322312001096-1194	1	Quantity	217	220	1	10%	
S0006322312001096-1194	1	MeasuredProperty	221	230	9	increment	
S0006322312001096-1194	2	Quantity	243	247	2	2.84	
S0006322312001096-1194	2	MeasuredEntity	234	238	10	risk	
S0006322312001096-1194	3	Quantity	249	252	3	95%	
S0006322312001096-1194	4	Quantity	278	287	4	1.66–4.88	
S0006322312001096-1194	4	MeasuredEntity	253	277	11	confidence interval [CI]	
S0006322312001096-1194	5	Quantity	347	351	5	2.25	
S0006322312001096-1194	5	MeasuredEntity	297	342	12	stroke risk score-incident stroke association	
S0006322312001096-1194	6	Quantity	353	356	6	95%	
S0006322312001096-1194	7	Quantity	360	369	7	1.92–2.65	
S0006322312001096-1194	7	MeasuredEntity	379	418	14	CHD risk score-incident CHD association	
S0006322312001096-1194	8	Quantity	514	518	15	1.34	
S0006322312001096-1194	8	MeasuredProperty	438	449	21	odds ratios	
S0006322312001096-1194	8	MeasuredEntity	505	508	23	CHD	
S0006322312001096-1194	9	Quantity	520	523	16	95%	
S0006322312001096-1194	10	Quantity	527	536	17	1.11–1.62	
S0006322312001096-1194	10	MeasuredEntity	524	526	24	CI	
S0006322312001096-1194	11	Quantity	542	546	18	2.14	
S0006322312001096-1194	12	Quantity	548	551	19	95%	
S0006322312001096-1194	13	Quantity	555	564	20	1.85–2.48	
S0006322312001096-1194	13	MeasuredEntity	552	554	25	CI	
