	X	label
0	"tensor([-3.5379e+00, -1.1666e+00,  4.0765e+00,  ...,  2.6667e-04,
         2.5786e-03,  2.1178e-02])"	1
1	"tensor([-2.0115e+00, -2.9876e-01,  2.1006e+00,  ...,  1.3351e-03,
         1.2658e-02,  1.8152e-02])"	1
2	"tensor([-2.0115e+00, -2.9876e-01,  2.1006e+00,  ...,  1.4969e-04,
         2.9931e-03,  3.0165e-03])"	0
3	"tensor([-2.0115e+00, -2.9876e-01,  2.1006e+00,  ...,  1.3351e-03,
         1.2658e-02,  1.8152e-02])"	0
4	"tensor([-2.0115e+00, -2.9876e-01,  2.1006e+00,  ...,  1.4969e-04,
         2.9931e-03,  3.0165e-03])"	1
5	"tensor([-1.2986e+00,  2.0066e+00,  3.5808e+00,  ...,  1.3082e-03,
         1.3400e-02,  2.3306e-02])"	1
6	"tensor([-1.2986e+00,  2.0066e+00,  3.5808e+00,  ...,  1.0916e-04,
         2.9555e-03,  3.9794e-03])"	0
7	"tensor([-1.2986e+00,  2.0066e+00,  3.5808e+00,  ...,  1.3082e-03,
         1.3400e-02,  2.3306e-02])"	0
8	"tensor([-1.2986e+00,  2.0066e+00,  3.5808e+00,  ...,  1.0916e-04,
         2.9555e-03,  3.9794e-03])"	1
9	tensor([1.1049, 1.8940, 1.9745,  ..., 0.0027, 0.0196, 0.0393])	1
10	"tensor([-2.5920e+00, -5.1827e-01,  1.4910e+00,  ...,  4.6824e-05,
         2.8840e-03,  1.7820e-02])"	1
11	"tensor([-2.2528e+00,  2.5596e+00, -1.8265e-01,  ...,  1.0139e-04,
         1.4223e-03,  1.0757e-02])"	1
12	"tensor([-8.2132e-02,  1.4212e+00,  4.2191e+00,  ...,  2.7559e-04,
         1.4841e-02,  2.6917e-02])"	1
13	tensor([-0.7156,  1.7642,  2.9569,  ...,  0.0086,  0.0168,  0.0253])	1
14	"tensor([-2.8788e+00,  1.2622e+00,  2.6229e+00,  ...,  1.9523e-03,
         1.7796e-02,  6.1906e-03])"	1
15	tensor([-2.1408,  3.0676,  1.9723,  ...,  0.0136,  0.0135,  0.0296])	1
16	tensor([-2.4385,  1.1713,  1.6070,  ...,  0.0204,  0.0239,  0.0194])	1
17	tensor([0.7308, 1.2016, 2.0455,  ..., 0.0262, 0.0213, 0.1043])	1
18	tensor([0.7308, 1.2016, 2.0455,  ..., 0.0221, 0.0227, 0.0174])	0
19	tensor([0.8178, 1.6025, 3.5633,  ..., 0.0105, 0.0093, 0.0053])	0
20	tensor([0.8178, 1.6025, 3.5633,  ..., 0.0254, 0.0263, 0.0081])	1
21	"tensor([-7.1696e-01,  1.7319e+00,  3.5453e+00,  ...,  7.0022e-03,
         1.2068e-02,  1.4635e-03])"	0
22	tensor([-0.7170,  1.7319,  3.5453,  ...,  0.0200,  0.0420,  0.0055])	1
23	tensor([-0.5968,  2.0190,  3.5693,  ...,  0.0171,  0.0711,  0.0146])	1
24	tensor([-0.5968,  2.0190,  3.5693,  ...,  0.0080,  0.0227,  0.0153])	0
25	tensor([-0.1562,  1.4083,  4.9182,  ...,  0.0057,  0.0385,  0.0510])	0
26	tensor([-0.1562,  1.4083,  4.9182,  ...,  0.0095,  0.0460,  0.0449])	1
27	"tensor([-1.8959e+00,  2.0643e+00, -1.4677e+00,  ...,  8.5624e-04,
         4.1937e-02,  1.9557e-02])"	1
28	"tensor([-1.8959e+00,  2.0643e+00, -1.4677e+00,  ...,  1.5412e-04,
         8.5555e-04,  7.2034e-03])"	0
29	"tensor([-3.3224e+00,  6.0186e-01,  2.5262e+00,  ...,  4.9346e-04,
         1.4073e-02,  6.8369e-03])"	0
30	"tensor([-3.3224e+00,  6.0186e-01,  2.5262e+00,  ...,  2.5227e-04,
         2.4171e-03,  5.3485e-03])"	1
31	"tensor([-3.5685e+00,  3.3876e+00,  2.7026e+00,  ...,  2.9251e-03,
         2.1614e-02,  1.6144e-02])"	0
32	tensor([-2.8056,  2.9675, -1.5623,  ...,  0.0096,  0.0285,  0.0171])	1
